WeekEnding,HealthBoardOfTreatment,HealthBoardOfTreatmentQF,InfluenzaAdmissions,InfluenzaAdmissionsQF,RSVAdmissions,RSVAdmissionsQF
20200927,SB0801,,,:,0,
20200927,S92000003,d,1,,6,
20201004,S08000015,,0,,1,
20201004,S08000016,,0,,0,
20201004,S08000017,,0,,0,
20201004,S08000029,,1,,0,
20201004,S08000019,,0,,0,
20201004,S08000020,,0,,0,
20201004,S08000031,,0,,2,
20201004,S08000022,,1,,0,
20201004,S08000032,,0,,0,
20201004,S08000024,,0,,3,
20201004,S08000025,,0,,0,
20201004,S08000026,,0,,0,
20201004,S08000030,,0,,0,
20201004,S08000028,,0,,0,
20201004,SB0801,,,:,0,
20201004,S92000003,d,2,,6,
20201011,S08000015,,0,,0,
20201011,S08000016,,0,,0,
20201011,S08000017,,0,,0,
20201011,S08000029,,0,,0,
20201011,S08000019,,0,,1,
20201011,S08000020,,0,,0,
20201011,S08000031,,0,,0,
20201011,S08000022,,2,,0,
20201011,S08000032,,0,,1,
20201011,S08000024,,0,,3,
20201011,S08000025,,0,,0,
20201011,S08000026,,0,,0,
20201011,S08000030,,0,,0,
20201011,S08000028,,0,,0,
20201011,SB0801,,,:,0,
20201011,S92000003,d,2,,5,
20201018,S08000015,,0,,0,
20201018,S08000016,,0,,1,
20201018,S08000017,,0,,0,
20201018,S08000029,,0,,0,
20201018,S08000019,,0,,1,
20201018,S08000020,,0,,0,
20201018,S08000031,,0,,2,
20201018,S08000022,,0,,0,
20201018,S08000032,,0,,0,
20201018,S08000024,,0,,4,
20201018,S08000025,,0,,0,
20201018,S08000026,,0,,0,
20201018,S08000030,,0,,0,
20201018,S08000028,,0,,0,
20201018,SB0801,,,:,0,
20201018,S92000003,d,0,,8,
20201025,S08000015,,0,,0,
20201025,S08000016,,0,,0,
20201025,S08000017,,0,,0,
20201025,S08000029,,0,,0,
20201025,S08000019,,0,,1,
20201025,S08000020,,0,,1,
20201025,S08000031,,0,,1,
20201025,S08000022,,0,,0,
20201025,S08000032,,0,,0,
20201025,S08000024,,0,,2,
20201025,S08000025,,0,,0,
20201025,S08000026,,0,,0,
20201025,S08000030,,0,,0,
20201025,S08000028,,0,,0,
20201025,SB0801,,,:,0,
20201025,S92000003,d,0,,5,
20201101,S08000015,,0,,0,
20201101,S08000016,,0,,0,
20201101,S08000017,,0,,0,
20201101,S08000029,,0,,0,
20201101,S08000019,,0,,1,
20201101,S08000020,,1,,0,
20201101,S08000031,,0,,0,
20201101,S08000022,,0,,0,
20201101,S08000032,,0,,0,
20201101,S08000024,,0,,0,
20201101,S08000025,,0,,0,
20201101,S08000026,,0,,0,
20201101,S08000030,,0,,1,
20201101,S08000028,,0,,0,
20201101,SB0801,,,:,0,
20201101,S92000003,d,1,,2,
20201108,S08000015,,0,,1,
20201108,S08000016,,0,,0,
20201108,S08000017,,0,,0,
20201108,S08000029,,0,,0,
20201108,S08000019,,0,,0,
20201108,S08000020,,1,,0,
20201108,S08000031,,0,,1,
20201108,S08000022,,0,,1,
20201108,S08000032,,0,,0,
20201108,S08000024,,0,,3,
20201108,S08000025,,0,,0,
20201108,S08000026,,0,,0,
20201108,S08000030,,0,,2,
20201108,S08000028,,0,,0,
20201108,SB0801,,,:,0,
20201108,S92000003,d,1,,8,
20201115,S08000015,,0,,0,
20201115,S08000016,,0,,0,
20201115,S08000017,,0,,0,
20201115,S08000029,,2,,0,
20201115,S08000019,,0,,1,
20201115,S08000020,,2,,0,
20201115,S08000031,,0,,1,
20201115,S08000022,,0,,1,
20201115,S08000032,,0,,0,
20201115,S08000024,,0,,2,
20201115,S08000025,,0,,0,
20201115,S08000026,,0,,0,
20201115,S08000030,,0,,1,
20201115,S08000028,,0,,0,
20201115,SB0801,,,:,0,
20201115,S92000003,d,4,,6,
20201122,S08000015,,0,,1,
20201122,S08000016,,0,,0,
20201122,S08000017,,0,,0,
20201122,S08000029,,0,,0,
20201122,S08000019,,0,,0,
20201122,S08000020,,1,,0,
20201122,S08000031,,0,,1,
20201122,S08000022,,0,,0,
20201122,S08000032,,0,,0,
20201122,S08000024,,0,,2,
20201122,S08000025,,0,,0,
20201122,S08000026,,0,,0,
20201122,S08000030,,0,,0,
20201122,S08000028,,0,,0,
20201122,SB0801,,,:,0,
20201122,S92000003,d,1,,4,
20201129,S08000015,,0,,0,
20201129,S08000016,,0,,0,
20201129,S08000017,,0,,0,
20201129,S08000029,,0,,0,
20201129,S08000019,,0,,1,
20201129,S08000020,,2,,1,
20201129,S08000031,,1,,0,
20201129,S08000022,,0,,0,
20201129,S08000032,,0,,0,
20201129,S08000024,,0,,1,
20201129,S08000025,,0,,0,
20201129,S08000026,,0,,0,
20201129,S08000030,,0,,2,
20201129,S08000028,,0,,0,
20201129,SB0801,,,:,0,
20201129,S92000003,d,3,,5,
20201206,S08000015,,0,,0,
20201206,S08000016,,0,,0,
20201206,S08000017,,0,,0,
20201206,S08000029,,0,,0,
20201206,S08000019,,0,,0,
20201206,S08000020,,2,,0,
20201206,S08000031,,1,,3,
20201206,S08000022,,0,,0,
20201206,S08000032,,0,,0,
20201206,S08000024,,0,,3,
20201206,S08000025,,0,,0,
20201206,S08000026,,0,,0,
20201206,S08000030,,0,,1,
20201206,S08000028,,0,,0,
20201206,SB0801,,,:,0,
20201206,S92000003,d,3,,7,
20201213,S08000015,,0,,0,
20201213,S08000016,,0,,0,
20201213,S08000017,,0,,0,
20201213,S08000029,,0,,1,
20201213,S08000019,,0,,1,
20201213,S08000020,,0,,1,
20201213,S08000031,,0,,1,
20201213,S08000022,,0,,0,
20201213,S08000032,,0,,1,
20201213,S08000024,,1,,0,
20201213,S08000025,,0,,0,
20201213,S08000026,,0,,0,
20201213,S08000030,,0,,0,
20201213,S08000028,,0,,0,
20201213,SB0801,,,:,0,
20201213,S92000003,d,1,,5,
20201220,S08000015,,0,,0,
20201220,S08000016,,0,,0,
20201220,S08000017,,0,,0,
20201220,S08000029,,0,,0,
20201220,S08000019,,0,,1,
20201220,S08000020,,0,,1,
20201220,S08000031,,1,,2,
20201220,S08000022,,1,,0,
20201220,S08000032,,0,,1,
20201220,S08000024,,0,,2,
20201220,S08000025,,0,,0,
20201220,S08000026,,0,,1,
20201220,S08000030,,0,,1,
20201220,S08000028,,0,,0,
20201220,SB0801,,,:,0,
20201220,S92000003,d,2,,9,
20201227,S08000015,,0,,0,
